SPA Эко,5000,4000,3000
12+20,Relax массаж «Тай Оил»+Программы для лица и головы «Лицо и голова»,90,1,5600
6+10,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Спорт-oil»",90,1,6000
25,Массаж в 4 руки «Тай в 4 руки»,60,1,6400
SPA Норм,8400,6720,5040
44,Программы для похудения «Слим и тай ойл»,90,1,5600
22+8,Программы для рук и ног «Руки»+Массаж с проработкой «Тай + травяные мешочки»,90,1,5600
12+19,Relax массаж «Тай Оил»+Программы для лица и головы «Голова»,90,1,5600
31+6,"SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,5600
4+19,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Голова»,90,1,5200
1+19,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Голова»,90,1,5200
12+18,Relax массаж «Тай Оил»+Программы для лица и головы «Лицо»,90,1,5600
1+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,120,1,6400
19+10,Программы для лица и головы «Голова»+Массаж с проработкой «Спорт-oil»,90,1,6000
20+31,Программы для лица и головы «Лицо и голова»+SPA - уход «Бархатное прикосновение»,90,1,5600
1+22,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Руки»,90,1,5200
10+18,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Лицо»,90,1,6000
4+6,"Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,5200
19+31,Программы для лица и головы «Голова»+SPA - уход «Бархатное прикосновение»,90,1,5600
22+31,Программы для рук и ног «Руки»+SPA - уход «Бархатное прикосновение»,90,1,5600
SPA Норм,8400,6720,5040
19+1,Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,90,1,5200
34,SPA - уход «Мужской комплимент»,120,1,6400
18+8,Программы для лица и головы «Лицо»+Массаж с проработкой «Тай + травяные мешочки»,90,1,5600
19+7,"Программы для лица и головы «Голова»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,5200
10+22,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Руки»,90,1,6000
33,SPA - уход «Королевская спа программа»,120,1,6400
6+24,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для рук и ног «Ноги»",90,1,5200
32,SPA - уход «Принцесса сиама»,90,1,5600
18+24,Программы для лица и головы «Лицо»+Программы для рук и ног «Ноги»,90,1,5200
23+5,Программы для рук и ног «Ноги»+Массаж с проработкой «Восстанавливающий»,120,1,6400
14,Relax массаж «Тай Оил»,120,1,6400
SPA Норм,8400,6720,5040
6+21,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Лицо и голова»",90,1,5600
8+19,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Голова»,90,1,5600
12+22,Relax массаж «Тай Оил»+Программы для рук и ног «Руки»,90,1,5600
22+2,Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6400
11,Массаж с проработкой «Спорт-oil»,90,1,6000
22+12,Программы для рук и ног «Руки»+Relax массаж «Тай Оил»,90,1,5600
31+18,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Лицо»,90,1,5600
6+5,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Восстанавливающий»",120,1,6400
19+21,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо и голова»,90,1,5600
18+10,Программы для лица и головы «Лицо»+Массаж с проработкой «Спорт-oil»,90,1,6000
19+4,Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»,90,1,5200
SPA Норм,8400,6720,5040
18+5,Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»,120,1,6400
4+22,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Руки»,90,1,5200
23+1,Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,90,1,5200
1+24,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Ноги»,120,1,6400
6+31,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Бархатное прикосновение»",90,1,5600
3,Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,5600
22+21,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо и голова»,90,1,5600
1+20,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо и голова»,90,1,5200
15,Relax массаж Тай Оил + травяные мешочки,90,1,5200
4+24,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Ноги»,120,1,6400
22+2,Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,6400
19+21,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо и голова»,90,1,5600
31+19,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Голова»,90,1,5600
1+6,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,5200
SPA Норм,8400,6720,5040
32,SPA - уход «Принцесса сиама»,90,1,5600
11,Массаж с проработкой «Спорт-oil»,90,1,6000
3,Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,5600
14,Relax массаж «Тай Оил»,120,1,6400
22+12,Программы для рук и ног «Руки»+Relax массаж «Тай Оил»,90,1,5600
10+22,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Руки»,90,1,6000
22+31,Программы для рук и ног «Руки»+SPA - уход «Бархатное прикосновение»,90,1,5600
23+31,Программы для рук и ног «Ноги»+SPA - уход «Бархатное прикосновение»,90,1,5600
19+7,"Программы для лица и головы «Голова»+Массаж с проработкой «Спина, Шея, и Плечи»",90,1,5200
8+23,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Ноги»,90,1,5600
12+19,Relax массаж «Тай Оил»+Программы для лица и головы «Голова»,90,1,5600
8+18,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо»,90,1,5600
1+24,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Ноги»,120,1,6400
1+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,120,1,6400
SPA Лукс,12000,9600,7200
34+24,SPA - уход «Мужской комплимент»+Программы для рук и ног «Ноги»,180,1,9600
19+44,Программы для лица и головы «Голова»+Программы для похудения «Слим и тай ойл»,120,1,7600
20+23+2,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8400
4+34,Массаж с проработкой «Восстанавливающий»+SPA - уход «Мужской комплимент»,180,1,9600
15+10,Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Спорт-oil»,150,1,9200
23+1+5,Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,9600
4+6+1,"Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",150,1,8400
12+31,Relax массаж «Тай Оил»+SPA - уход «Бархатное прикосновение»,120,1,7200
25+7,"Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,9600
18+16,Программы для лица и головы «Лицо»+Relax массаж Тай Оил + травяные мешочки,150,1,8800
34+18,SPA - уход «Мужской комплимент»+Программы для лица и головы «Лицо»,150,1,8400
44+22,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Руки»,120,1,7600
6+28,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж в 4 руки «Тай Ойл в 4 руки»",90,1,9200
SPA Лукс,12000,9600,7200
4+15,Массаж с проработкой «Восстанавливающий»+Relax массаж Тай Оил + травяные мешочки,150,1,8400
1+44,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Слим и тай ойл»,150,1,8800
19+22+2,Программы для лица и головы «Голова»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8400
6+16,"Массаж с проработкой «Спина, Шея, и Плечи»+Relax массаж Тай Оил + травяные мешочки",150,1,8800
1+34,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Мужской комплимент»,180,1,9600
15+4,Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Восстанавливающий»,150,1,8400
6+14,"Массаж с проработкой «Спина, Шея, и Плечи»+Relax массаж «Тай Оил»",150,1,8400
23+18+2,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8400
4+17,Массаж с проработкой «Восстанавливающий»+Relax массаж Стоун,150,1,8000
31+17,SPA - уход «Бархатное прикосновение»+Relax массаж Стоун,150,1,8400
4+22+2,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
31+10,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спорт-oil»,120,1,7600
6+34,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Мужской комплимент»",150,1,8400
23+16,Программы для рук и ног «Ноги»+Relax массаж Тай Оил + травяные мешочки,150,1,8800
SPA Лукс,12000,9600,7200
32+6,"SPA - уход «Принцесса сиама»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,7600
28+18,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для лица и головы «Лицо»,90,1,9200
6+5+1,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
17+21,Relax массаж Стоун+Программы для лица и головы «Лицо и голова»,150,1,8400
18+44,Программы для лица и головы «Лицо»+Программы для похудения «Слим и тай ойл»,120,1,7600
10+21,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Лицо и голова»,120,1,7600
17+24,Relax массаж Стоун+Программы для рук и ног «Ноги»,150,1,8000
23+19+1,Программы для рук и ног «Ноги»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
34+7,"SPA - уход «Мужской комплимент»+Массаж с проработкой «Спина, Шея, и Плечи»",180,1,9600
43+24,Программы для похудения «Слим»+Программы для рук и ног «Ноги»,120,1,8000
43+5,Программы для похудения «Слим»+Массаж с проработкой «Восстанавливающий»,150,1,9200
23+34,Программы для рук и ног «Ноги»+SPA - уход «Мужской комплимент»,150,1,8400
SPA Лукс,12000,9600,7200
25+24,Массаж в 4 руки «Тай в 4 руки»+Программы для рук и ног «Ноги»,120,1,9600
15+31,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Бархатное прикосновение»,150,1,8800
10+4,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Восстанавливающий»,120,1,7200
8+17,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж Стоун,150,1,8400
20+31+1,Программы для лица и головы «Лицо и голова»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
17+12,Relax массаж Стоун+Relax массаж «Тай Оил»,150,1,8400
31+32,SPA - уход «Бархатное прикосновение»+SPA - уход «Принцесса сиама»,150,1,9200
4+33,Массаж с проработкой «Восстанавливающий»+SPA - уход «Королевская спа программа»,180,1,9600
4+9,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Тай + травяные мешочки»,150,1,8000
31+43,SPA - уход «Бархатное прикосновение»+Программы для похудения «Слим»,120,1,8400
10+7,"Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,7200
33+19,SPA - уход «Королевская спа программа»+Программы для лица и головы «Голова»,150,1,8400
SPA Лукс,12000,9600,7200
19+34,Программы для лица и головы «Голова»+SPA - уход «Мужской комплимент»,150,1,8400
6+44,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим и тай ойл»",120,1,7600
31+44,SPA - уход «Бархатное прикосновение»+Программы для похудения «Слим и тай ойл»,150,1,9200
32+21,SPA - уход «Принцесса сиама»+Программы для лица и головы «Лицо и голова»,150,1,9200
1+25,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж в 4 руки «Тай в 4 руки»,120,1,9600
18+22+3,Программы для лица и головы «Лицо»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
19+32,Программы для лица и головы «Голова»+SPA - уход «Принцесса сиама»,120,1,7600
23+20+1,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
34+22,SPA - уход «Мужской комплимент»+Программы для рук и ног «Руки»,150,1,8400
10+12,Массаж с проработкой «Спорт-oil»+Relax массаж «Тай Оил»,120,1,7600
18+6+3,"Программы для лица и головы «Лицо»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
8+31,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Бархатное прикосновение»,120,1,7200
SPA Лукс,12000,9600,7200
20+3,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,7600
12+19+1,Relax массаж «Тай Оил»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
15+7,"Relax массаж Тай Оил + травяные мешочки+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,8400
12+44,Relax массаж «Тай Оил»+Программы для похудения «Слим и тай ойл»,150,1,9200
4+19+2,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
32+22,SPA - уход «Принцесса сиама»+Программы для рук и ног «Руки»,120,1,7600
28+23,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для рук и ног «Ноги»,90,1,9200
25+4,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Восстанавливающий»,120,1,9600
1+10,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спорт-oil»,120,1,7200
4+3,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,8800
35,SPA - уход «Целебные травы»,180,1,8800
4+10,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спорт-oil»,120,1,7200
8+19+1,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
12+43,Relax массаж «Тай Оил»+Программы для похудения «Слим»,120,1,8400
44+7,"Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,8800
SPA Лукс,12000,9600,7200
31+5,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Восстанавливающий»,150,1,8000
4+44,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим и тай ойл»,150,1,8800
8+12,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж «Тай Оил»,120,1,7200
32+4,SPA - уход «Принцесса сиама»+Массаж с проработкой «Восстанавливающий»,150,1,8800
10+44,Массаж с проработкой «Спорт-oil»+Программы для похудения «Слим и тай ойл»,150,1,9600
8+21,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо и голова»,120,1,7200
8+23+1,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
6+18+3,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
44+10,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Спорт-oil»,150,1,9600
19+1+4,Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,150,1,8400
15+21,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Лицо и голова»,150,1,8800
SPA Лукс,12000,9600,7200
34+19,SPA - уход «Мужской комплимент»+Программы для лица и головы «Голова»,150,1,8400
23+6+2,"Программы для рук и ног «Ноги»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",150,1,8400
12+32,Relax массаж «Тай Оил»+SPA - уход «Принцесса сиама»,150,1,9200
22+44,Программы для рук и ног «Руки»+Программы для похудения «Слим и тай ойл»,120,1,7600
10+1,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
10+32,Массаж с проработкой «Спорт-oil»+SPA - уход «Принцесса сиама»,150,1,9600
34+20,SPA - уход «Мужской комплимент»+Программы для лица и головы «Лицо и голова»,150,1,8400
43+21,Программы для похудения «Слим»+Программы для лица и головы «Лицо и голова»,120,1,8400
32+10,SPA - уход «Принцесса сиама»+Массаж с проработкой «Спорт-oil»,150,1,9600
1+32,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Принцесса сиама»,150,1,8800
18+19+2,Программы для лица и головы «Лицо»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8400
SPA Лукс,12000,9600,7200
20+32,Программы для лица и головы «Лицо и голова»+SPA - уход «Принцесса сиама»,120,1,7600
4+43,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим»,120,1,8000
1+4+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",180,1,9600
23+32,Программы для рук и ног «Ноги»+SPA - уход «Принцесса сиама»,120,1,7600
33+23,SPA - уход «Королевская спа программа»+Программы для рук и ног «Ноги»,150,1,8400
8+32,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Принцесса сиама»,150,1,9200
20+22+1,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
23+44,Программы для рук и ног «Ноги»+Программы для похудения «Слим и тай ойл»,120,1,7600
28+22,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для рук и ног «Руки»,90,1,9200
31+8,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Тай + травяные мешочки»,120,1,7200
31+12,SPA - уход «Бархатное прикосновение»+Relax массаж «Тай Оил»,120,1,7200
32+18,SPA - уход «Принцесса сиама»+Программы для лица и головы «Лицо»,120,1,7600
20+44,Программы для лица и головы «Лицо и голова»+Программы для похудения «Слим и тай ойл»,120,1,7600
19+4+2,Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
25+18,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Лицо»,90,1,8400
SPA Лукс,12000,9600,7200
18+32,Программы для лица и головы «Лицо»+SPA - уход «Принцесса сиама»,120,1,7600
10+24,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Ноги»,120,1,7200
19+18+3,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
20+19+1,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
17+31,Relax массаж Стоун+SPA - уход «Бархатное прикосновение»,150,1,8400
10+15,Массаж с проработкой «Спорт-oil»+Relax массаж Тай Оил + травяные мешочки,150,1,9200
20+16,Программы для лица и головы «Лицо и голова»+Relax массаж Тай Оил + травяные мешочки,150,1,8800
15+19,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Голова»,120,1,7200
18+33,Программы для лица и головы «Лицо»+SPA - уход «Королевская спа программа»,150,1,8400
1+18+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»,150,1,8400
1+6+4,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Восстанавливающий»",150,1,8400
22+33,Программы для рук и ног «Руки»+SPA - уход «Королевская спа программа»,150,1,8400
19+21+1,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
SPA Лукс,12000,9600,7200
31+19+1,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
20+11,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Спорт-oil»,120,1,8000
22+23+2,Программы для рук и ног «Руки»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8400
1+33,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Королевская спа программа»,180,1,9600
28,Массаж в 4 руки «Тай Ойл в 4 руки»,60,1,7200
4+18+1,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8400
6+1+5,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",180,1,9600
25+19,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Голова»,90,1,8400
44+23,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Ноги»,120,1,7600
1+17,Массаж с проработкой «Традиционный Тайский (Тай)»+Relax массаж Стоун,150,1,8000
SPA Лукс,12000,9600,7200
18+24+1,Программы для лица и головы «Лицо»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8400
4+32,Массаж с проработкой «Восстанавливающий»+SPA - уход «Принцесса сиама»,150,1,8800
6+33,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Королевская спа программа»",150,1,8400
20+34,Программы для лица и головы «Лицо и голова»+SPA - уход «Мужской комплимент»,150,1,8400
18+8+1,Программы для лица и головы «Лицо»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,8800
33+7,"SPA - уход «Королевская спа программа»+Массаж с проработкой «Спина, Шея, и Плечи»",180,1,9600
23+14,Программы для рук и ног «Ноги»+Relax массаж «Тай Оил»,150,1,8400
23+33,Программы для рук и ног «Ноги»+SPA - уход «Королевская спа программа»,150,1,8400
